Date,Open,High,Low,Close,Adj Close,Volume
"$43,985.00","$3,078.00","$3,129.50","$3,074.25","$3,117.75","$3,117.75","$1,623,708.00"
"$43,986.00","$3,117.75","$3,126.75","$3,087.50","$3,110.50","$3,110.50","$1,830,904.00"
"$43,987.00","$3,113.25","$3,210.50","$3,106.50","$3,186.75","$3,186.75","$2,444,330.00"
"$43,989.00","$3,192.50","$3,211.50","$3,187.50","$3,209.25","$3,209.25","$2,494,301.00"
"$43,990.00","$3,192.50","$3,231.25","$3,183.25","$3,227.50","$3,227.50","$1,602,601.00"
"$43,991.00","$3,227.75","$3,231.00","$3,190.00","$3,205.50","$3,205.50","$1,695,764.00"
"$43,992.00","$3,204.75","$3,227.25","$3,179.75","$3,186.00","$3,186.00","$1,996,065.00"
"$43,993.00","$3,183.75","$3,188.50","$2,996.25","$3,010.25","$3,010.25","$3,528,726.00"
"$43,994.00","$3,011.75","$3,087.75","$2,982.00","$3,034.75","$3,034.75","$2,872,339.00"
"$43,996.00","$2,992.75","$3,008.75","$2,980.75","$3,000.75","$3,000.75","$2,658,953.00"
"$43,997.00","$2,992.75","$3,079.25","$2,935.00","$3,073.00","$3,073.00","$1,947,459.00"
"$43,998.00","$3,076.25","$3,167.75","$3,071.25","$3,128.75","$3,128.75","$1,377,224.00"
"$43,999.00","$3,122.00","$3,157.75","$3,105.00","$3,118.00","$3,118.00","$610,877.00"
"$44,000.00","$3,115.00","$3,130.50","$3,075.25","$3,109.00","$3,109.00","$373,718.00"
"$44,001.00","$3,108.25","$3,196.00","$3,106.75","$3,161.26","$3,161.26","$1,952,273.00"
"$44,003.00","$3,040.25","$3,055.75","$3,027.25","$3,053.25","$3,053.25","$4,008,510.00"
"$44,004.00","$3,040.25","$3,114.25","$3,027.25","$3,110.75","$3,110.75","$1,392,325.00"
"$44,005.00","$3,111.75","$3,145.75","$3,060.00","$3,118.50","$3,118.50","$1,528,485.00"
"$44,006.00","$3,113.25","$3,128.50","$3,019.75","$3,049.00","$3,049.00","$2,387,916.00"
"$44,007.00","$3,046.75","$3,079.50","$3,005.00","$3,070.75","$3,070.75","$1,967,245.00"
"$44,008.00","$3,071.25","$3,082.00","$2,992.50","$3,007.00","$3,007.00","$2,208,418.00"
"$44,010.00","$2,986.25","$3,004.25","$2,983.50","$3,002.75","$3,002.75","$3,532,799.00"
"$44,011.00","$2,986.25","$3,051.25","$2,983.50","$3,047.75","$3,047.75","$1,585,146.00"
"$44,012.00","$3,046.00","$3,101.25","$3,030.25","$3,090.25","$3,090.25","$1,724,164.00"
"$44,013.00","$3,085.25","$3,117.75","$3,062.75","$3,103.00","$3,103.00","$1,537,321.00"
"$44,014.00","$3,101.75","$3,156.50","$3,095.50","$3,129.00","$3,129.00","$1,552,517.00"
"$44,017.00","$3,121.25","$3,134.50","$3,115.50","$3,134.25","$3,134.25","$1,476,642.00"
