TimeStamp,   Open Interest   
10/06/2020," 65,901,720.00 "
11/06/2020," 65,227,570.00 "
12/06/2020," 62,309,520.00 "
13/06/2020," 60,148,540.00 "
14/06/2020," 60,343,540.00 "
15/06/2020," 59,464,800.00 "
16/06/2020," 61,028,060.00 "
17/06/2020," 61,967,310.00 "
18/06/2020," 59,961,950.00 "
19/06/2020," 59,864,250.00 "
20/06/2020," 60,798,120.00 "
21/06/2020," 60,121,980.00 "
22/06/2020," 61,082,910.00 "
23/06/2020," 62,150,030.00 "
24/06/2020," 61,371,990.00 "
25/06/2020," 60,446,230.00 "
26/06/2020," 58,821,190.00 "
27/06/2020," 54,912,850.00 "
28/06/2020," 57,126,640.00 "
29/06/2020," 58,052,370.00 "
30/06/2020," 58,419,470.00 "
01/07/2020," 60,482,240.00 "
02/07/2020," 59,385,360.00 "
03/07/2020," 60,011,890.00 "
04/07/2020," 61,210,900.00 "
05/07/2020," 61,655,830.00 "
06/07/2020," 62,170,430.00 "
07/07/2020," 63,815,230.00 "
08/07/2020," 65,701,720.00 "
09/07/2020," 67,948,350.00 "
10/07/2020," 68,226,010.00 "
11/07/2020," 68,431,370.00 "
12/07/2020," 67,980,320.00 "
13/07/2020," 68,902,840.00 "
14/07/2020," 70,294,390.00 "
15/07/2020," 70,958,240.00 "
16/07/2020," 71,639,160.00 "
17/07/2020," 70,884,730.00 "
18/07/2020," 70,284,760.00 "
19/07/2020," 70,921,720.00 "
20/07/2020," 71,208,420.00 "
21/07/2020," 72,419,220.00 "
22/07/2020," 73,173,180.00 "
23/07/2020," 74,583,140.00 "
24/07/2020," 75,095,990.00 "
25/07/2020," 72,746,520.00 "
26/07/2020," 76,348,790.00 "
27/07/2020," 87,122,540.00 "
28/07/2020," 98,861,950.00 "
29/07/2020," 99,555,410.00 "
30/07/2020," 101,608,800.00 "
31/07/2020," 98,298,760.00 "
01/08/2020," 102,202,700.00 "
02/08/2020," 106,565,600.00 "
03/08/2020," 111,757,500.00 "
04/08/2020," 115,782,000.00 "
05/08/2020," 119,075,800.00 "
06/08/2020," 120,424,800.00 "
07/08/2020," 118,768,500.00 "
08/08/2020," 111,102,100.00 "
09/08/2020," 110,939,300.00 "
10/08/2020," 686,237,288.00 "
11/08/2020," 680,030,504.00 "
12/08/2020," 661,964,400.00 "
13/08/2020," 661,157,504.00 "
